# Simulated XRD Data for a Perovskite-like Material
# Column 1: 2-Theta Angle
# Column 2: Intensity (Arbitrary Units)
10.0, 105
11.0, 110
12.0, 125
13.0, 160
13.5, 210
13.8, 400
14.1, 1000
14.4, 450
14.8, 220
15.5, 150
16.0, 140
17.0, 130
18.0, 120
19.0, 150
19.5, 250
19.7, 400
20.0, 800
20.3, 420
20.8, 200
21.5, 150
22.0, 140
23.0, 130
24.0, 120
25.0, 110
26.0, 100
27.0, 120
27.5, 150
28.1, 400
28.4, 900
28.7, 410
29.0, 200
30.0, 150
31.0, 180
31.5, 450
31.8, 700
32.1, 440
32.5, 210
33.0, 150
34.0, 120
35.0, 110
36.0, 100
37.0, 90
38.0, 80
39.0, 70
40.0, 60
